code	code128,code39
wtsapi	wtsapi32
reportviewer	report-viewer2010,report-viewer2012
scd	scd2
graphics	graphics32
tiddlywiki	tiddlywiki5
apple-m	apple-m7
lync	lync-2010,lync-2013
project-server	project-server-2007
gd	gd2
gb	gb2312
scalaz	scalaz7
gl	gl868
globalize	globalize2,globalize3
flash-builder	flash-builder4.5
wx.html	wx.html2
flash	flash-10,flash-8
afnetworking	afnetworking-2
tv	tv4
aria	aria2
tr	tr1,tr2,tr24731
rfc	rfc-4226
avr-studio	avr-studio4,avr-studio5,avr-studio6
flashplayer	flashplayer-10,flashplayer-9
edsim	edsim51
xunit	xunit2
jasmin-x	jasmin-x86
mscomm	mscomm32
spec	spec2
proj	proj4
gnuwin	gnuwin32
liferay	liferay-6,liferay-6.2
xsd	xsd-1.0,xsd-1.1
dev-appserver	dev-appserver-2
vt	vt100
c++builder-xe	c++builder-xe2,c++builder-xe3,c++builder-xe4,c++builder-xe5,c++builder-xe6,c++builder-xe7,c++builder-xe8
advapi	advapi32
scala	scala-2.10,scala-2.11,scala-2.12,scala-2.7,scala-2.8,scala-2.9
fat	fat16,fat32
laravel	laravel-3,laravel-4,laravel-5,laravel-5.1
entity-framework	entity-framework-4,entity-framework-4.1,entity-framework-4.2,entity-framework-4.3,entity-framework-4.3.1,entity-framework-5,entity-framework-6,entity-framework-6.1,entity-framework-7
ms-project-server	ms-project-server-2010,ms-project-server-2013
wgs	wgs84
react-d	react-d3
libusb-win	libusb-win32
gplv	gplv3
h.	h.263,h.264,h.265,h.323
pymc	pymc3
dynamicpdf-table	dynamicpdf-table2
pyxmpp	pyxmpp2
wse	wse2.0,wse3.0
filenet-p	filenet-p8
internet-explorer	internet-explorer-10,internet-explorer-11,internet-explorer-5,internet-explorer-6,internet-explorer-7,internet-explorer-8,internet-explorer-9
ninject	ninject-2,ninject-3
outlook	outlook-2003,outlook-2007,outlook-2010,outlook-2011,outlook-2013
evc	evc4
wso	wso2
iscroll	iscroll4
xquery	xquery-3.0
pdp	pdp-11
ps	ps1,ps2,ps3
biztalk	biztalk2006r2
powerpoint	powerpoint-2007,powerpoint-2010,powerpoint-2013
netbeans	netbeans6.1,netbeans6.5,netbeans6.7,netbeans6.8,netbeans7.0
plv	plv8
windows-mobile	windows-mobile-2003,windows-mobile-5.0,windows-mobile-6,windows-mobile-6.1,windows-mobile-6.5
direct	direct2,direct3d10,direct3d11,direct3d9
modula	modula-2,modula-3
apache-commons-lang	apache-commons-lang3
weblogic	weblogic-10.x
hibernate	hibernate3
zx	zx81
reporting-services	reporting-services-2012
tortoisehg	tortoisehg-2.0
ubuntu	ubuntu-10.04,ubuntu-10.10,ubuntu-11.04,ubuntu-11.10,ubuntu-12.04,ubuntu-12.10,ubuntu-13.04,ubuntu-13.10,ubuntu-14.04,ubuntu-14.10,ubuntu-15.04,ubuntu-8.04,ubuntu-8.10,ubuntu-9.04,ubuntu-9.10
platform-update	platform-update-1
tessnet	tessnet2
specs	specs2
zinc	zinc-4
loadrunner	loadrunner-12.02
jcr-sql	jcr-sql2
wysihtml	wysihtml5
websphere	websphere-6,websphere-6.1,websphere-7,websphere-8
javascript	javascript-1.7,javascript-1.8
extension-builder	extension-builder3
section	section508
db-api	db-api-2
sapb	sapb1
jboss	jboss5.x,jboss6.x,jboss7.x
c++builder	c++builder-2006,c++builder-2007,c++builder-2009,c++builder-2010,c++builder-5,c++builder-6
jboss	jboss-3.x,jboss-4.0.x,jboss-4.2.x
angularjs	angularjs-1.2,angularjs-1.3,angularjs-1.4,angularjs-2,angularjs-2.0
cortex-a	cortex-a8
jboss-eap	jboss-eap-4.3.x,jboss-eap-6
mef	mef2
rust	rust-0.11,rust-0.8,rust-0.9
visual-c#-express	visual-c#-express-2010
drupal	drupal-5,drupal-6,drupal-7,drupal-8
acr	acr122
jasmine	jasmine2.0
netapi	netapi32
opengl	opengl-1.x,opengl-2.0,opengl-3,opengl-4
firemonkey-fm	firemonkey-fm2,firemonkey-fm3
apache	apache2,apache2.2,apache2.4
win	win64
ruby-on-rails	ruby-on-rails-2,ruby-on-rails-3,ruby-on-rails-3.1,ruby-on-rails-3.2,ruby-on-rails-4,ruby-on-rails-4.1,ruby-on-rails-4.2,ruby-on-rails-5
wordpress	wordpress-3.5,wordpress-3.9,wordpress-3.9.1,wordpress-4.0
vba	vba7
ctp	ctp4
castle-windsor	castle-windsor-3
youtube-api-v	youtube-api-v3
ieee	ieee-754
c++-tr	c++-tr2
solaris	solaris-10
popen	popen3,popen4
playframework	playframework-1.x,playframework-2.0,playframework-2.1,playframework-2.2,playframework-2.3,playframework-2.4
ntlmv	ntlmv2
asp.net-mvc-beta	asp.net-mvc-beta1
prestashop	prestashop-1.5,prestashop-1.6
wcf	wcf-4
ms-access	ms-access-2000,ms-access-2002,ms-access-2003,ms-access-2007,ms-access-2010,ms-access-2013,ms-access-97
oscp	oscp5
wildfly	wildfly-8
firefox	firefox11,firefox2,firefox3.5,firefox3.6,firefox4,firefox6,firefox7
google-api-v	google-api-v3
elasticsearch	elasticsearch-1.0.0
glassfish	glassfish-2.x,glassfish-3,glassfish-4,glassfish-4.1
app	app42
antlrworks	antlrworks2
java-ee	java-ee-5,java-ee-6,java-ee-7
jdom	jdom-2
netbeans	netbeans-6.9,netbeans-7,netbeans-7.1,netbeans-7.2,netbeans-7.3,netbeans-7.4,netbeans-8
vim	vim7.2,vim7.3
cordova	cordova-2.0.0,cordova-2.7.0,cordova-3,cordova-3.5,cordova-4,cordova-5.0.0
graylog	graylog2
mysql-error	mysql-error-1005,mysql-error-1007,mysql-error-1025,mysql-error-1030,mysql-error-1040,mysql-error-1044,mysql-error-1045,mysql-error-1046,mysql-error-1049,mysql-error-1050,mysql-error-1051,mysql-error-1052,mysql-error-1054,mysql-error-1060,mysql-error-1062,mysql-error-1064,mysql-error-1065,mysql-error-1066,mysql-error-1067,mysql-error-1071,mysql-error-1075,mysql-error-1091,mysql-error-1093,mysql-error-1111,mysql-error-1130,mysql-error-1136,mysql-error-1138,mysql-error-1140,mysql-error-1142,mysql-error-1146,mysql-error-1170,mysql-error-1193,mysql-error-1205,mysql-error-1214,mysql-error-1222,mysql-error-1235,mysql-error-1241,mysql-error-1242,mysql-error-1248,mysql-error-1253,mysql-error-126,mysql-error-1264,mysql-error-1267,mysql-error-1292,mysql-error-1293,mysql-error-1312,mysql-error-1327,mysql-error-1349,mysql-error-1364,mysql-error-1415,mysql-error-1416,mysql-error-1442,mysql-error-1451,mysql-error-1452,mysql-error-150,mysql-error-1630,mysql-error-2002,mysql-error-2003,mysql-error-2006,mysql-error-2013
libusb	libusb-1.0
windows-embedded	windows-embedded-8,windows-embedded-8.1
blackberry	blackberry-10,blackberry-5,blackberry-9800
meteor-collection	meteor-collection2
cloud	cloud66
wix	wix2,wix3,wix3.10,wix3.5,wix3.6,wix3.7,wix3.8,wix3.9,wix4
asn.	asn.1
xpath	xpath-1.0,xpath-2.0,xpath-3.0
.net	.net-1.0,.net-1.1,.net-2.0,.net-3.0,.net-3.5,.net-4.0,.net-4.0-beta-2,.net-4.5,.net-4.5.2,.net-4.5.3,.net-4.6,.net-5.0
jwplayer	jwplayer6
unreal-engine	unreal-engine4
msbuild	msbuild-4.0
teamcity	teamcity-4,teamcity-5.0,teamcity-5.1,teamcity-6,teamcity-7.0,teamcity-7.1,teamcity-8.0,teamcity-9.0,teamcity-9.1
facebook-sdk	facebook-sdk-3.0,facebook-sdk-3.1,facebook-sdk-3.14.x,facebook-sdk-4.0,facebook-sdk-4.x
delphi	delphi-2005,delphi-2006,delphi-2007,delphi-2009,delphi-2010,delphi-3,delphi-4,delphi-5,delphi-6,delphi-7
msp	msp430
cognos-tm	cognos-tm1
live	live555
rebol	rebol2,rebol3
music	music21
rhel	rhel5,rhel6,rhel7
typo3	typo3-4.5,typo3-6.1.x,typo3-6.2.x,typo3-7.1.x,typo3-7.2.x,typo3-7.x
visio	visio2013
palm-pre	palm-pre2
entity-framework-ctp	entity-framework-ctp5
visual-studio-exp	visual-studio-exp-2013
kdiff	kdiff3
tridion	tridion-2011
series	series-40
jpa	jpa-1.0,jpa-2.0,jpa-2.1
moto	moto-360
android-ndk-r	android-ndk-r4,android-ndk-r5,android-ndk-r7
pic	pic18,pic24,pic32
ibm-db	ibm-db2
icefaces	icefaces-1.8,icefaces-2,icefaces-3
tinyxml	tinyxml2
webkit	webkit2
roxygen	roxygen2
iec	iec10967,iec61131-3
ean	ean-13
md	md5
plone	plone-3.x,plone-4.x,plone-5.x
lync-server	lync-server-2010,lync-server-2013
jdk	jdk1.4,jdk1.5,jdk1.6,jdk1.7,jdk6,jdk9
avm	avm2
mm	mm7
pls	pls-00103,pls-00323,pls-00403,pls-00428
node-orm	node-orm2
junit	junit3,junit4
primer	primer3
mt	mt4,mt940
cordova-win	cordova-win10
pyasn	pyasn1
mp	mp3,mp4
ms	ms11-100
atmega	atmega16
cortex-m	cortex-m3
soundmanager	soundmanager2
spring-security-oauth	spring-security-oauth2
.net-cf	.net-cf-3.5
sqlite	sqlite2,sqlite3
nexus	nexus6
maximage	maximage2
sorenson	sorenson-360
imlib	imlib2
allegro	allegro5
carrot	carrot2
magento	magento2
mod-perl	mod-perl2
autopep	autopep8
msvc	msvc12
plan	plan-9
mpeg	mpeg-2,mpeg-4
sharepointfoundation	sharepointfoundation2010
axis	axis2
gcc	gcc3,gcc4,gcc4.4,gcc4.5,gcc4.6,gcc4.7,gcc4.8,gcc4.9,gcc5
wsdl	wsdl-2.0
sybase-ase	sybase-ase15
jscript	jscript-10
pkcs#	pkcs#1,pkcs#10,pkcs#11,pkcs#12,pkcs#15,pkcs#5,pkcs#8
hol	hol4
dagger	dagger-2
pyqt	pyqt4,pyqt5
